date,category_click,헤드앤숄더샴푸,헤드앤숄더차콜,헤드앤숄더,헤드앤숄더프로페셔널,헤드앤숄더클리니컬스트렝스,비듬샴푸,지루성두피샴푸,안티트로샴푸,지성두피샴푸,비듬,팬틴,헤드앤숄더_경쟁,닥터그루트,케라시스,두피케어카테고리
2024-02-29,63.275862068965516,36.206896551724135,0.0,13.862068965517242,2.4827586206896552,17.20689655172414,29.17241379310345,3.413793103448276,0.0,5.620689655172414,0.034482758620689655,2.95107,37.07484,20.7044,9.69923,45.4071
2024-03-31,57.61290322580645,34.29032258064516,0.0,13.193548387096774,2.032258064516129,18.548387096774192,23.774193548387096,3.903225806451613,0.0,4.806451612903226,0.12903225806451613,2.89093,38.20034,21.11347,9.44317,45.74365
2024-04-30,53.9,32.166666666666664,0.0,12.1,2.0,19.2,17.833333333333332,3.533333333333333,0.0,3.9,0.03333333333333333,2.66671,32.97349,19.6072,9.00668,44.4722
2024-05-31,56.806451612903224,37.41935483870968,0.0,17.93548387096774,1.8387096774193548,18.806451612903224,18.258064516129032,4.580645161290323,0.0,10.548387096774194,0.0967741935483871,3.27081,33.14287,20.74199,9.13316,45.30981
2024-06-30,56.733333333333334,33.3,0.0,12.633333333333333,1.8666666666666667,13.4,26.533333333333335,3.6,0.0,13.766666666666667,0.06666666666666667,5.31131,31.51852,18.74969,8.74399,42.75675
2024-07-31,63.483870967741936,43.096774193548384,0.0,13.193548387096774,1.903225806451613,15.03225806451613,12.32258064516129,4.258064516129032,0.0,10.290322580645162,0.03225806451612903,3.82228,32.49322,19.76773,9.34765,54.96879
2024-08-31,59.74193548387097,33.83870967741935,0.0,9.935483870967742,1.903225806451613,12.516129032258064,10.806451612903226,3.4516129032258065,0.0,4.580645161290323,0.0,3.95982,31.18728,18.7351,9.98182,53.23211
2024-09-30,54.1,32.43333333333333,0.0,10.133333333333333,2.066666666666667,14.166666666666666,11.566666666666666,3.7333333333333334,0.0,3.7666666666666666,0.06666666666666667,3.57375,28.50022,16.18602,8.88285,50.00773
2024-10-31,50.774193548387096,33.83870967741935,0.0,11.129032258064516,1.3548387096774193,16.06451612903226,42.935483870967744,3.3870967741935485,0.0,4.129032258064516,0.12903225806451613,3.88729,32.51666,16.04716,9.27114,46.21861
2024-11-30,46.06666666666667,24.966666666666665,0.0,8.0,1.9333333333333333,7.8,42.06666666666667,3.433333333333333,0.0,3.1,0.03333333333333333,3.43577,34.08529,17.14126,8.5494,44.70394
2024-12-31,45.96774193548387,24.129032258064516,0.0,7.741935483870968,1.032258064516129,5.258064516129032,17.258064516129032,3.2903225806451615,0.22580645161290322,3.2580645161290325,0.0,3.4968,35.90953,17.59058,8.83199,49.0693
